,date,idle_cpus,partially_idle_cpus,partially_free_mem,free_mem,allocated_nodes,idle_nodes,other_nodes,total_nodes
102,20-03-22 23:40:23,0.0062945000515942625,0.0062945000515942625,0.702966458887549,0.0035834944210042627,6828,29,384,7241
103,21-03-22 06:38:14,0.13003928054579283,0.13003928054579283,0.6783293983490529,0.14626966982804235,5638,1208,395,7241
104,19-03-22 07:32:20,0.19902863159324796,0.19902863159324796,0.6065284183997126,0.14542723227256082,6037,919,285,7241
105,26-03-22 00:46:29,0.026268697032109937,0.026268697032109937,0.8082425643224406,0.024889637291953363,6781,205,255,7241
106,26-03-22 20:37:00,0.018523563061836012,0.018523563061836012,0.8041370862007504,0.01456485102665975,6820,105,316,7241
107,21-03-22 07:13:25,0.17336181354647556,0.17336181354647556,0.6518791331844361,0.21837896473685084,5198,1649,394,7241
108,21-03-22 11:10:14,0.03281913241536391,0.03281913241536391,0.7615533313914176,0.014318903674856828,6564,269,408,7241
109,24-03-22 00:08:10,0.02788022331246828,0.02788022331246828,0.8248243505412585,0.019547026338731045,6735,228,278,7241
110,29-03-22 20:46:59,0.0447725648964039,0.0447725648964039,0.7553822743903491,0.036639710577636646,6553,368,320,7241
111,31-03-22 06:28:54,0.012126579691385359,0.012126579691385359,0.8317233469737532,0.009700537064536722,6849,66,326,7241
112,21-03-22 04:49:57,0.10052691393739023,0.10052691393739023,0.6674241684362299,0.08840878305548355,6022,827,392,7241
113,28-03-22 07:14:48,0.02081955227518017,0.02081955227518017,0.7133220953874779,0.014238607223502274,6633,109,499,7241
114,22-03-22 00:17:18,0.007613440259872094,0.007613440259872094,0.7681687033702084,0.004621899922819655,6934,41,266,7241
115,23-03-22 05:50:08,0.022191400832177532,0.022191400832177532,0.8040037278737836,0.017483713047986734,6821,154,266,7241
116,28-03-22 02:41:34,0.05657290071020749,0.05657290071020749,0.7192591459581408,0.02883352842113465,6535,203,503,7241
117,28-03-22 07:04:56,0.03344702770430182,0.03344702770430182,0.7089113519900168,0.01909003310056731,6571,172,498,7241
118,22-03-22 01:38:40,0.009818194129397027,0.009818194129397027,0.7584044206745797,0.006482279654468913,6909,62,270,7241
119,22-03-22 20:26:20,0.03912426515305088,0.03912426515305088,0.7780091189638494,0.041730719843858344,6652,334,255,7241
120,24-03-22 04:21:01,0.016555280388099197,0.016555280388099197,0.81881913831536,0.011273594770679312,6849,92,300,7241
121,26-03-22 21:30:24,0.007116347168783411,0.007116347168783411,0.8160832875018671,0.006558545417184339,6868,51,322,7241
122,27-03-22 05:59:49,0.017887797843850854,0.017887797843850854,0.810290762073549,0.01271824490037992,6755,93,393,7241
123,28-03-22 23:40:09,0.08144980655670943,0.08144980655670943,0.7194873445917765,0.09750373333034609,6178,760,303,7241
124,24-03-22 14:15:04,0.012228490355707191,0.012228490355707191,0.8387006956631969,0.009903035839245443,6899,78,264,7241
125,20-03-22 04:10:43,0.30998871524809357,0.30998871524809357,0.6328372564980705,0.16457030597830272,5890,1019,332,7241
126,21-03-22 19:14:42,0.029510418431306116,0.029510418431306116,0.7564824781799209,0.01503886741884409,6794,162,285,7241
127,18-03-22 03:53:48,0.026405884546286566,0.026405884546286566,0.7743822387440723,0.011905146854900128,6748,215,278,7241
128,20-03-22 17:59:28,0.004903641725533228,0.004903641725533228,0.7626214457007311,0.0033803522250796547,6861,25,355,7241
129,26-03-22 05:27:56,0.06962025316455696,0.06962025316455696,0.7611689719121899,0.08583623611048662,5866,626,749,7241
130,24-03-22 20:40:38,0.02119843623618226,0.02119843623618226,0.8273676398234941,0.022482824760020705,6823,175,243,7241
131,25-03-22 07:02:22,0.0445834037519013,0.0445834037519013,0.7582714015946286,0.028932752832563996,6584,393,264,7241
132,19-03-22 12:24:53,0.21546641218772367,0.21546641218772367,0.600807617096604,0.13464973576345918,6051,887,303,7241
133,28-03-22 04:44:09,0.128335362671769,0.128335362671769,0.6947148008979891,0.06185351553170825,6312,433,496,7241
